snapshot,biomass,coal,dfo,gas,hydro,nuclear,other,solar,wind,storage
2022-01-01 01:00:00,137.5,12776.6,0.0,6796.335264982045,227.909156338939,5138.6,229.7,0.1489484814278089,12700.14552719759,0.0
2022-01-01 02:00:00,137.5,12776.6,0.0,5145.1499789160835,48.976963098925,5138.6,229.7,0.1342651604486735,13559.86115882454,0.0
2022-01-01 03:00:00,137.5,12181.7,0.0,3025.5172241879127,48.712138907178,5138.6,229.7,0.1358199605587983,15119.74281494435,0.0
2022-01-01 04:00:00,137.5,10946.336773014713,0.0,1360.7422241879126,47.694775298143,5138.6,229.7,0.1423152089661022,17326.59528622521,0.0
2022-01-01 05:00:00,137.5,9834.0,0.0,649.1374755416552,46.7638398855136,5138.6,229.7,0.1524126138834937,19298.92223407517,0.0
2022-01-01 06:00:00,137.5,9189.282071777348,0.0,595.8124755416553,48.008594527269,5138.6,229.7,0.1525749950977266,19114.94208664726,0.0
2022-01-01 07:00:00,137.5,8837.100517347679,0.0,642.8774668090001,227.715426188977,5138.6,229.7,0.14809733317462329,19510.60973732117,0.0
2022-01-01 08:00:00,137.5,9335.083511733043,0.0,668.5136461511662,227.48776040382901,5138.6,229.7,9.101144322860085,19266.91512726958,0.0
2022-01-01 09:00:00,137.5,9600.302163443252,0.0,848.9636461511661,227.21779017394,5138.6,229.7,1636.696782059162,18206.89347893286,0.0
2022-01-01 10:00:00,137.5,9421.348251365558,0.0,1239.9136461511662,228.528804700595,5138.6,229.7,4212.101682976131,17803.06857471916,0.0
2022-01-01 11:00:00,137.5,10412.520328916491,0.0,1837.2063554175438,489.72958396943,5138.6,229.7,3949.7249020595777,18618.58865098353,0.0
2022-01-01 12:00:00,137.5,11702.870328916491,0.0,2570.1451318565405,179.283646123215,5138.6,229.7,3277.596357532154,18714.09072364584,0.0
2022-01-01 13:00:00,137.5,12528.97753047973,0.0,3528.6761007182217,48.296661287494004,5138.6,229.7,4371.988097341819,17196.44802217274,0.0
2022-01-01 14:00:00,137.5,12776.6,0.0,4188.831505126856,49.320321924673,5138.6,229.7,5774.822825999355,15637.46659540938,69.27790953974039
2022-01-01 15:00:00,137.5,12776.6,0.0,4889.459185980587,50.031745015519,5138.6,229.7,6175.076500908386,14773.20234471996,81.11857337555573
2022-01-01 16:00:00,137.5,12776.6,0.0,5115.514000954009,50.64676714017,5138.6,229.7,5640.789438830006,15097.08683807582,0.0
2022-01-01 17:00:00,137.5,12776.6,0.0,5715.246501627624,51.290690247835,5138.6,229.7,2450.997752798652,17776.70745632589,0.0
2022-01-01 18:00:00,137.5,12776.6,0.0,6334.484239212688,51.954039093144,5138.6,229.7,282.4001460256362,19779.09727592136,181.6601767471555
2022-01-01 19:00:00,137.5,12776.6,0.0,6609.601607156816,51.748524292645,5138.6,229.7,0.5606035749718294,20899.2274076375,186.70334033806714
2022-01-01 20:00:00,137.5,12776.6,0.0,6022.797870188402,42.478935007772,5138.6,229.7,0.5368807378248156,21514.541995066,0.0
2022-01-01 21:00:00,137.5,12776.6,0.0,5417.526881657226,42.7034671303123,5138.6,229.7,0.5673272230726747,21952.63353998939,0.0
2022-01-01 22:00:00,137.5,12776.6,0.0,4767.081448135845,42.028274228483,5138.6,229.7,0.5355275623035757,22399.811056073104,0.0
2022-01-01 23:00:00,137.5,12776.6,0.0,3876.9156691835706,41.5901555252865,5138.6,229.7,0.541891789128691,22573.46886350187,0.0
2022-01-02 00:00:00,137.5,12774.302135374259,0.0,3042.8005129951666,46.655802783626,5138.6,229.7,0.5570430774621364,22668.058766769496,0.0
2022-01-02 01:00:00,137.5,12735.763690648673,0.0,2563.5062820005705,213.14861049536,5138.6,229.7,0.5194247553609221,21773.02656510003,0.0
2022-01-02 02:00:00,137.5,12765.913276466847,0.0,2852.881531767778,43.6612317442211,5138.6,229.7,0.5194247553609221,20990.77061826578,0.0
2022-01-02 03:00:00,137.5,12610.313276466846,0.0,2849.027222512712,42.9588235025987,5138.6,229.7,0.5194247553609221,21013.58902476248,0.0
2022-01-02 04:00:00,137.5,12454.713276466848,0.0,3142.4129096827655,46.5439859797044,5138.6,229.7,0.5194247553609221,21318.54210405813,0.0
2022-01-02 05:00:00,137.5,12318.026592022286,0.0,3743.7256532415686,45.809758439012796,5138.6,229.7,0.5194247553609221,21833.73432054177,0.0
2022-01-02 06:00:00,137.5,12385.359886498478,0.0,5558.613835931972,45.2850778760562,5138.6,229.7,0.5194247553609221,21362.99412093813,0.0
2022-01-02 07:00:00,137.5,12534.701368865566,0.0,7590.3008728032,223.62226878855802,5138.6,229.7,0.5194247553609221,20984.00135206673,0.0
2022-01-02 08:00:00,137.5,12690.301368865566,0.0,10112.949923965101,226.409067602166,5138.6,229.7,20.21161659504735,20376.85516253162,222.58300744050015
2022-01-02 09:00:00,137.5,12776.6,0.0,11378.320607153752,228.565621522687,5138.6,229.7,2268.718180967893,18904.091009060212,119.39405229545201
2022-01-02 10:00:00,137.5,12776.6,0.0,10981.93457003939,229.171755036029,5138.6,229.7,6691.81615056206,16603.39302527068,0.0
2022-01-02 11:00:00,137.5,12776.6,0.0,12268.677664540235,294.523605162026,5138.6,229.7,7594.804591495629,13681.39507780212,0.0
2022-01-02 12:00:00,137.5,12776.6,0.0,13947.154302496632,47.1292011810296,5138.6,229.7,7370.472955574992,11463.30835674735,0.0
2022-01-02 13:00:00,137.5,12776.6,0.0,12929.68371683441,48.241785063454,5138.6,229.7,7577.3895135367275,11053.6528085654,0.0
